Episode, Total Reward, Epsilon, Steps
1, -7510.00, 0.49, 200
2, -2625.00, 0.37, 151
3, -7330.00, 0.27, 194
4, -10195.00, 0.23, 167
5, -6830.00, 0.18, 274
6, -7215.00, 0.15, 209
7, -3415.00, 0.14, 151
8, -9405.00, 0.13, 151
9, -5010.00, 0.12, 156
10, -2665.00, 0.11, 151
11, -5475.00, 0.10, 151
12, -7705.00, 0.09, 151
13, -2335.00, 0.08, 151
14, -1635.00, 0.08, 151
15, -6015.00, 0.08, 151
16, -4395.00, 0.07, 151
17, -5915.00, 0.07, 151
18, -4695.00, 0.06, 151
19, -2655.00, 0.06, 151
20, -5265.00, 0.06, 203
21, -5315.00, 0.05, 151
22, -5435.00, 0.05, 151
23, -1275.00, 0.05, 151
24, -3805.00, 0.05, 151
25, -6065.00, 0.05, 151
26, -5915.00, 0.04, 151
27, -7675.00, 0.04, 151
28, -5435.00, 0.04, 151
29, -6025.00, 0.04, 151
30, -5085.00, 0.04, 151
31, 235.00, 0.04, 151
32, -6665.00, 0.04, 151
33, -8045.00, 0.03, 151
34, -1685.00, 0.03, 151
35, -5055.00, 0.03, 151
36, -5215.00, 0.03, 151
37, -7975.00, 0.03, 151
38, -7235.00, 0.03, 151
39, -3875.00, 0.03, 151
40, -5085.00, 0.03, 151
41, -4655.00, 0.03, 151
42, -2755.00, 0.03, 151
43, -5265.00, 0.03, 151
44, -7515.00, 0.03, 151
45, -5930.00, 0.03, 192
46, -7975.00, 0.02, 151
47, -9875.00, 0.02, 235
48, -4895.00, 0.02, 151
49, -6135.00, 0.02, 151
50, 4005.00, 0.02, 151
51, -1725.00, 0.02, 151
52, -7985.00, 0.02, 151
53, -1615.00, 0.02, 151
54, -1315.00, 0.02, 151
55, -8105.00, 0.02, 151
56, -4145.00, 0.02, 151
57, -4295.00, 0.02, 151
58, -1755.00, 0.02, 151
59, -6475.00, 0.02, 151
60, -5415.00, 0.02, 151
61, -15.00, 0.02, 151
62, -11095.00, 0.02, 151
63, -8305.00, 0.02, 151
64, -7115.00, 0.02, 151
65, -2885.00, 0.02, 151
66, -3115.00, 0.02, 151
67, -3755.00, 0.02, 151
68, 2525.00, 0.02, 151
69, -1435.00, 0.02, 151
70, -175.00, 0.02, 151
71, -6385.00, 0.02, 151
72, -3095.00, 0.02, 151
73, -4255.00, 0.02, 151
74, -7185.00, 0.02, 151
75, -9795.00, 0.02, 151
76, -3845.00, 0.02, 151
77, -3985.00, 0.02, 151
78, -8535.00, 0.02, 151
79, -2745.00, 0.01, 151
80, -4195.00, 0.01, 151
81, -8085.00, 0.01, 151
82, -3005.00, 0.01, 151
83, -7295.00, 0.01, 151
84, -1875.00, 0.01, 151
85, 3435.00, 0.01, 151
86, -4255.00, 0.01, 151
87, -1715.00, 0.01, 151
88, -16015.00, 0.01, 151
89, -3735.00, 0.01, 151
90, -5045.00, 0.01, 151
91, -8105.00, 0.01, 151
92, 3985.00, 0.01, 151
93, -7165.00, 0.01, 151
94, -7625.00, 0.01, 151
95, -8075.00, 0.01, 151
96, -8090.00, 0.01, 154
97, -8035.00, 0.01, 151
98, -4245.00, 0.01, 151
99, -8075.00, 0.01, 151
100, -1635.00, 0.01, 151
101, -5215.00, 0.01, 151
102, -4935.00, 0.01, 151
103, -7125.00, 0.01, 151
104, -8975.00, 0.01, 151
105, -5065.00, 0.01, 151
106, -10005.00, 0.01, 151
107, -5665.00, 0.01, 151
108, -4655.00, 0.01, 151
109, -4275.00, 0.01, 151
110, -1525.00, 0.01, 151
111, -8225.00, 0.01, 151
112, -7995.00, 0.01, 151
113, -2015.00, 0.01, 151
114, -1275.00, 0.01, 151
115, -1645.00, 0.01, 151
116, -11095.00, 0.01, 151
117, -1985.00, 0.01, 151
118, -7675.00, 0.01, 151
119, -4655.00, 0.01, 151
120, -7255.00, 0.01, 151
121, -7185.00, 0.01, 151
122, -5085.00, 0.01, 151
123, -1635.00, 0.01, 151
124, -5975.00, 0.01, 151
125, -3285.00, 0.01, 151
126, 485.00, 0.01, 151
127, -7675.00, 0.01, 151
128, -4085.00, 0.01, 151
129, -5615.00, 0.01, 151
130, -6115.00, 0.01, 151
131, -4345.00, 0.01, 151
132, 1815.00, 0.01, 151
133, -2485.00, 0.01, 151
134, 1195.00, 0.01, 151
135, 1355.00, 0.01, 151
136, -3765.00, 0.01, 151
137, -5935.00, 0.01, 151
138, -7215.00, 0.01, 151
139, -3895.00, 0.01, 151
140, -16595.00, 0.01, 151
141, -7195.00, 0.01, 151
142, -1595.00, 0.01, 151
143, -1235.00, 0.01, 151
144, -2075.00, 0.01, 151
145, -2765.00, 0.01, 151
146, -5785.00, 0.01, 151
