episode,reward
0,0
0,2
0,7
0,12
0,17
0,22
0,27
0,30
0,35
0,38
0,43
0,48
0,53
0,56
0,61
0,64
0,72
0,80
0,88
0,97
0,103
0,119
0,120
0,125
0,128
0,128
0,131
0,134
0,136
0,141
0,146
0,151
0,154
0,157
0,160
0,160
0,165
0,170
0,172
0,175
0,180
0,185
0,190
0,195
0,200
0,205
0,210
0,219
0,224
0,229
0,234
0,243
0,252
0,261
0,269
0,277
0,283
0,286
0,294
0,302
0,311
0,320
0,327
0,334
0,343
0,345
0,348
0,353
0,358
0,363
0,369
0,374
0,379
0,382
0,387
0,392
0,398
0,404
0,408
0,412
0,418
0,423
0,428
0,433
0,441
0,443
0,445
0,448
0,450
0,452
0,455
0,465
0,460
0,455
0,453
0,448
0,448
0,448
0,450
0,451
0,455
0,459
0,463
0,465
0,469
0,469
0,469
0,469
0,467
0,467
0,469
0,473
0,473
0,473
0,473
0,477
0,481
0,485
0,489
0,489
0,489
0,489
0,489
0,491
0,495
0,499
0,502
0,505
0,508
0,511
0,514
0,517
0,520
0,524
0,528
0,532
0,536
0,540
0,544
0,548
0,552
0,556
0,560
0,564
0,568
0,572
0,576
0,580
0,584
0,588
0,590
0,594
0,592
0,592
0,592
0,593
0,593
0,593
0,593
0,593
0,593
0,593
0,593
0,593
0,589
0,590
0,586
0,582
0,578
0,574
0,570
0,566
0,562
0,562
0,566
0,568
0,578
0,582
0,586
0,590
0,594
0,598
0,603
0,604
0,609
0,611
0,615
0,619
0,623
0,627
0,630
0,635
0,638
0,639
0,639
0,639
0,640
0,640
0,640
0,641
0,641
0,641
0,641
0,641
0,641
0,640
0,640
0,641
0,641
0,640
0,640
0,641
0,639
0,637
0,635
0,633
0,634
0,634
0,632
0,633
0,631
0,629
0,630
0,628
0,629
0,627
0,625
0,626
0,624
0,625
0,623
0,626
0,628
0,630
0,632
0,634
0,639
0,641
0,643
0,648
0,651
0,655
0,657
0,659
0,661
0,662
0,663
0,663
0,663
0,661
0,659
0,657
0,658
0,657
0,661
0,665
0,667
0,669
0,673
0,675
0,679
0,681
0,683
0,685
0,687
0,689
0,691
0,693
0,695
0,697
0,699
0,701
0,701
0,702
0,701
0,700
0,699
0,700
0,699
0,698
0,699
0,700
0,699
0,698
0,696
0,695
0,695
0,694
0,693
0,692
0,693
0,693
0,692
0,693
0,691
0,690
0,689
0,688
0,687
0,686
0,685
0,686
0,687
0,687
0,688
0,687
0,686
0,685
0,684
0,683
0,682
0,681
0,686
0,689
0,692
0,695
0,699
0,701
0,704
0,709
0,714
0,719
0,721
0,724
0,727
0,730
0,733
0,738
0,741
0,745
0,747
0,751
0,753
0,755
0,757
0,759
0,761
0,765
0,767
0,769
0,770
0,769
0,770
0,769
0,770
0,769
0,768
0,767
0,766
0,765
0,770
0,773
0,778
0,781
0,784
0,787
0,790
0,793
0,794
0,799
0,803
0,808
0,811
0,814
0,818
0,821
0,825
0,827
0,829
0,831
0,833
0,837
0,841
0,843
0,845
0,850
0,850
0,849
0,848
0,847
0,846
0,845
0,844
0,843
0,844
0,845
0,846
0,845
0,846
0,845
0,844
0,845
0,844
0,843
0,842
0,842
0,840
0,838
0,836
0,834
0,834
0,832
0,830
0,828
0,826
0,824
0,822
0,820
0,818
0,816
0,814
0,812
0,813
0,812
0,811
0,810
0,809
0,808
0,807
0,806
0,805
0,804
0,803
0,802
0,801
0,802
0,801
0,800
0,799
0,798
0,797
0,796
0,795
0,794
0,793
0,792
0,791
0,790
0,789
0,790
0,791
0,790
0,789
0,788
0,787
0,786
0,785
0,786
0,785
0,784
0,783
0,782
0,783
0,782
0,781
0,780
0,779
0,773
0,767
0,761
0,762
0,766
0,768
0,770
0,772
0,774
0,776
0,778
0,781
0,783
0,785
0,787
0,789
0,791
0,793
0,795
0,798
0,798
0,800
0,802
0,804
0,806
0,808
0,810
0,812
0,814
0,815
0,819
0,823
0,825
0,826
0,827
0,826
0,825
0,826
0,825
0,825
0,829
0,830
0,829
0,828
0,828
0,827
0,826
0,825
0,824
0,823
0,827
0,829
0,834
0,837
0,840
0,843
0,846
0,849
0,854
0,857
0,858
0,857
0,856
0,855
0,860
0,863
0,866
0,869
0,872
0,875
0,880
0,883
0,888
0,891
0,894
0,897
0,900
0,903
0,906
0,909
0,912
0,915
0,915
0,913
0,911
0,909
0,907
0,912
0,912
0,910
0,908
0,906
0,910
0,912
0,914
0,918
0,920
0,922
0,922
0,920
0,918
0,916
0,914
0,912
0,910
0,908
0,906
0,907
0,906
0,905
0,904
0,903
0,907
0,909
0,911
0,913
0,915
0,917
0,918
0,917
0,916
0,918
0,920
0,923
0,928
0,931
0,934
0,937
0,940
0,947
1,2
2,9
3,2
4,3
5,2
6,4
7,4
8,5
9,6
10,2
11,6
12,9
13,4
14,1
15,7
16,9
17,6
18,3
19,5
20,4
21,-3
22,6
23,6
24,4
25,4
26,5
27,1
28,9
29,9
30,3
31,0
32,3
33,6
34,2
35,4
36,5
37,-5
38,6
39,5
40,2
41,-2
42,8
43,8
44,5
45,2
46,4
47,5
48,-2
49,6
50,8
51,-2
52,5
53,2
