Episode, Total Reward, Epsilon, Steps
1, 1303.00, 0.40, 151
2, 698.00, 0.18, 269
3, 737.00, 0.15, 151
4, 1784.00, 0.12, 151
5, 1563.00, 0.10, 151
6, 1192.00, 0.09, 187
7, -2085.00, 0.08, 151
8, 2860.00, 0.06, 151
9, 1840.00, 0.06, 151
10, 2447.00, 0.06, 151
11, -85.00, 0.05, 172
12, 486.00, 0.05, 151
13, 2812.00, 0.04, 151
14, 3507.00, 0.04, 151
15, 1590.00, 0.04, 151
16, -373.00, 0.03, 151
17, 1361.00, 0.03, 151
18, -8760.00, 0.03, 151
19, 1389.00, 0.03, 151
20, 1091.00, 0.03, 246
21, -6631.00, 0.02, 151
22, 2423.00, 0.02, 151
23, 1129.00, 0.02, 162
24, 1679.00, 0.02, 151
25, 1353.00, 0.02, 151
26, -297.00, 0.02, 151
27, 2382.00, 0.02, 156
28, -410.00, 0.02, 151
29, 3608.00, 0.02, 151
30, 2565.00, 0.02, 151
31, 4850.00, 0.02, 151
32, 1169.00, 0.02, 151
33, 1780.00, 0.02, 151
34, 1432.00, 0.02, 151
35, 2451.00, 0.02, 151
36, 2040.00, 0.02, 151
37, 825.00, 0.02, 151
38, -130.00, 0.02, 151
39, 1821.00, 0.02, 151
40, -1295.00, 0.02, 151
41, 2273.00, 0.02, 151
42, 1558.00, 0.01, 151
43, 1225.00, 0.01, 151
44, 1516.00, 0.01, 151
45, 2396.00, 0.01, 151
46, 2117.00, 0.01, 151
47, 2401.00, 0.01, 151
48, 2870.00, 0.01, 151
49, 3022.00, 0.01, 151
50, 843.00, 0.01, 151
51, 1411.00, 0.01, 151
52, 1981.00, 0.01, 151
53, 289.00, 0.01, 151
54, -188.00, 0.01, 151
55, 643.00, 0.01, 151
56, -131.00, 0.01, 151
57, 1625.00, 0.01, 151
58, 2451.00, 0.01, 151
59, 696.00, 0.01, 151
60, 4165.00, 0.01, 151
61, 2816.00, 0.01, 253
62, 353.00, 0.01, 151
63, 1331.00, 0.01, 151
64, 1734.00, 0.01, 151
65, 1382.00, 0.01, 151
66, 1399.00, 0.01, 151
67, 2406.00, 0.01, 151
68, 1590.00, 0.01, 151
69, 2687.00, 0.01, 151
70, 1227.00, 0.01, 151
71, 1174.00, 0.01, 151
72, -424.00, 0.01, 151
73, 1886.00, 0.01, 151
74, -10.00, 0.01, 151
75, 1670.00, 0.01, 168
76, -899.00, 0.01, 151
77, 1058.00, 0.01, 151
78, 1333.00, 0.01, 151
79, 2086.00, 0.01, 151
80, 15.00, 0.01, 273
81, 2399.00, 0.01, 157
82, 2845.00, 0.01, 151
83, 2384.00, 0.01, 151
84, 2784.00, 0.01, 151
85, -1944.00, 0.01, 151
86, 1459.00, 0.01, 151
87, 2185.00, 0.01, 151
88, 2208.00, 0.01, 151
89, -2447.00, 0.01, 151
90, 1644.00, 0.01, 151
91, 605.00, 0.01, 151
92, 2825.00, 0.01, 151
93, 2183.00, 0.01, 151
94, -2053.00, 0.01, 151
95, 63.00, 0.01, 151
96, 1369.00, 0.01, 151
97, 514.00, 0.01, 151
98, 296.00, 0.01, 151
99, 412.00, 0.01, 151
100, 1795.00, 0.01, 151
101, 2306.00, 0.01, 151
102, 1585.00, 0.01, 151
103, 397.00, 0.01, 151
104, -754.00, 0.01, 151
105, 111.00, 0.01, 151
106, 408.00, 0.01, 151
107, 2901.00, 0.01, 151
108, 2683.00, 0.01, 151
109, 1566.00, 0.01, 151
