Episode, Total Reward, Epsilon, Steps
1, -1436.00, 0.27, 311
2, -1208.00, 0.15, 248
3, 793.00, 0.12, 151
4, 1221.00, 0.10, 151
5, 1635.00, 0.08, 151
6, -67.00, 0.07, 232
7, 1666.00, 0.06, 151
8, 678.00, 0.06, 151
9, 634.00, 0.06, 151
10, -440.00, 0.05, 260
11, 915.00, 0.04, 151
12, 122.00, 0.04, 151
13, 927.00, 0.04, 151
14, 1235.00, 0.04, 151
15, 1878.00, 0.03, 151
16, 854.00, 0.03, 151
17, -256.00, 0.03, 151
18, 2735.00, 0.03, 151
19, 415.00, 0.03, 151
20, 436.00, 0.03, 151
21, 2983.00, 0.03, 151
22, 1353.00, 0.03, 151
23, -81.00, 0.03, 151
24, 2001.00, 0.03, 151
25, 4336.00, 0.02, 151
26, 3557.00, 0.02, 151
27, 1767.00, 0.02, 151
28, 2012.00, 0.02, 151
29, 2411.00, 0.02, 151
30, 2446.00, 0.02, 151
31, 557.00, 0.02, 151
32, 1494.00, 0.02, 151
33, 1542.00, 0.02, 151
34, 1850.00, 0.02, 151
35, 1227.00, 0.02, 151
36, 1440.00, 0.02, 151
37, 2873.00, 0.02, 151
38, 2691.00, 0.02, 151
39, 3363.00, 0.02, 151
40, 437.00, 0.02, 151
41, 280.00, 0.02, 151
42, 1898.00, 0.02, 151
43, 1079.00, 0.02, 151
44, 1474.00, 0.02, 151
45, 2012.00, 0.01, 151
46, 577.00, 0.01, 151
47, 1414.00, 0.01, 151
48, 2701.00, 0.01, 151
49, 776.00, 0.01, 151
50, 2550.00, 0.01, 151
51, -90.00, 0.01, 151
52, -109.00, 0.01, 151
53, -29.00, 0.01, 151
54, 370.00, 0.01, 151
55, 2170.00, 0.01, 151
56, 2548.00, 0.01, 151
57, 1827.00, 0.01, 151
58, 1354.00, 0.01, 151
59, 1096.00, 0.01, 151
60, 1633.00, 0.01, 151
61, 11.00, 0.01, 151
62, 437.00, 0.01, 151
63, 436.00, 0.01, 151
64, -3660.00, 0.01, 151
65, 437.00, 0.01, 151
66, 986.00, 0.01, 151
67, -1040.00, 0.01, 151
68, 1501.00, 0.01, 151
69, 1354.00, 0.01, 151
70, -1140.00, 0.01, 151
71, 1574.00, 0.01, 151
72, 310.00, 0.01, 151
73, -907.00, 0.01, 151
74, 436.00, 0.01, 151
75, 1280.00, 0.01, 151
76, 1129.00, 0.01, 151
77, 310.00, 0.01, 151
78, -366.00, 0.01, 151
79, -9333.00, 0.01, 151
80, 2257.00, 0.01, 151
81, 2630.00, 0.01, 151
82, 1159.00, 0.01, 151
83, -2056.00, 0.01, 151
84, 3387.00, 0.01, 151
85, 869.00, 0.01, 151
86, 577.00, 0.01, 151
87, 2690.00, 0.01, 151
88, 2411.00, 0.01, 151
89, 1503.00, 0.01, 151
90, 296.00, 0.01, 151
91, 2978.00, 0.01, 151
92, 3468.00, 0.01, 151
93, 2879.00, 0.01, 163
94, -1066.00, 0.01, 259
95, 554.00, 0.01, 151
96, 2154.00, 0.01, 151
97, 2551.00, 0.01, 151
98, 1633.00, 0.01, 151
99, -179.00, 0.01, 151
100, 577.00, 0.01, 151
101, 708.00, 0.01, 151
102, 2690.00, 0.01, 151
103, 1634.00, 0.01, 151
104, 3092.00, 0.01, 151
105, 1388.00, 0.01, 151
106, 3746.00, 0.01, 151
107, 2691.00, 0.01, 151
108, 2411.00, 0.01, 151
109, 437.00, 0.01, 151
110, 2411.00, 0.01, 151
111, 2670.00, 0.01, 151
112, 1634.00, 0.01, 151
113, 437.00, 0.01, 151
114, 1004.00, 0.01, 151
115, 2550.00, 0.01, 151
116, 1354.00, 0.01, 151
117, 201.00, 0.01, 151
118, 1494.00, 0.01, 151
119, 2701.00, 0.01, 151
120, 764.00, 0.01, 151
121, 2860.00, 0.01, 151
122, -1782.00, 0.01, 151
123, 562.00, 0.01, 151
124, 576.00, 0.01, 151
125, 1473.00, 0.01, 151
126, 1504.00, 0.01, 151
127, 1494.00, 0.01, 151
128, 315.00, 0.01, 151
129, 576.00, 0.01, 151
130, 598.00, 0.01, 151
131, 1647.00, 0.01, 151
132, 1578.00, 0.01, 151
133, 1316.00, 0.01, 151
134, 1365.00, 0.01, 151
135, 2321.00, 0.01, 151
136, 2134.00, 0.01, 151
137, 2898.00, 0.01, 151
