Episode, Total Reward, Epsilon, Steps
1, 7373.00, 0.32, 225
2, 3407.00, 0.20, 151
3, 6978.00, 0.17, 151
4, 4063.00, 0.13, 151
5, 6289.00, 0.11, 151
6, 3315.00, 0.09, 151
7, 3352.00, 0.08, 151
8, 5932.00, 0.08, 151
9, 4284.00, 0.07, 151
10, 4754.00, 0.06, 151
11, 5008.00, 0.06, 151
12, 4627.00, 0.05, 151
13, 5852.00, 0.05, 151
14, 3323.00, 0.04, 151
15, 4455.00, 0.04, 151
16, 5337.00, 0.04, 188
17, 3755.00, 0.03, 151
18, 3862.00, 0.03, 151
19, 4444.00, 0.03, 151
20, 5986.00, 0.03, 151
21, 5453.00, 0.03, 151
22, 5630.00, 0.03, 151
23, 6774.00, 0.03, 151
24, 4745.00, 0.03, 151
25, 5746.00, 0.02, 151
26, 6941.00, 0.02, 151
27, 4016.00, 0.02, 151
28, 5443.00, 0.02, 151
29, 6282.00, 0.02, 271
30, 6511.00, 0.02, 151
31, 4376.00, 0.02, 151
32, 5098.00, 0.02, 151
33, 6625.00, 0.02, 151
34, 5339.00, 0.02, 151
35, 4533.00, 0.02, 151
36, 7778.00, 0.02, 151
37, 4973.00, 0.02, 151
38, 4205.00, 0.02, 151
39, 4037.00, 0.02, 151
40, 5518.00, 0.02, 151
41, 1933.00, 0.02, 151
42, 6454.00, 0.01, 151
43, 2867.00, 0.01, 151
44, 3271.00, 0.01, 151
45, 5099.00, 0.01, 151
46, 5669.00, 0.01, 151
47, 6300.00, 0.01, 151
48, 7184.00, 0.01, 151
49, 4410.00, 0.01, 151
50, 3600.00, 0.01, 151
51, 6013.00, 0.01, 151
52, 6187.00, 0.01, 151
53, 4503.00, 0.01, 151
54, 4944.00, 0.01, 151
55, 5612.00, 0.01, 151
56, 4334.00, 0.01, 151
57, 8349.00, 0.01, 151
58, 7989.00, 0.01, 151
59, 6093.00, 0.01, 151
60, 7999.00, 0.01, 151
61, 6004.00, 0.01, 151
62, 1895.00, 0.01, 151
63, 8006.00, 0.01, 151
64, 6965.00, 0.01, 151
65, 5565.00, 0.01, 151
66, 6318.00, 0.01, 151
67, 5306.00, 0.01, 151
68, 6010.00, 0.01, 151
69, 7051.00, 0.01, 151
70, 1841.00, 0.01, 151
71, 3276.00, 0.01, 151
72, 3681.00, 0.01, 151
73, 3915.00, 0.01, 151
74, 3235.00, 0.01, 151
75, 6387.00, 0.01, 151
76, 2392.00, 0.01, 151
77, 4067.00, 0.01, 151
78, 3923.00, 0.01, 151
79, 5234.00, 0.01, 151
80, 3586.00, 0.01, 151
81, 3695.00, 0.01, 151
82, 5109.00, 0.01, 151
83, 4468.00, 0.01, 151
84, 5048.00, 0.01, 151
85, 3035.00, 0.01, 151
86, 5702.00, 0.01, 151
87, 6928.00, 0.01, 151
88, 6792.00, 0.01, 151
89, 4129.00, 0.01, 151
90, 5688.00, 0.01, 151
91, 6951.00, 0.01, 151
92, 6434.00, 0.01, 151
93, 4254.00, 0.01, 151
94, 8432.00, 0.01, 151
95, 5810.00, 0.01, 151
96, 5301.00, 0.01, 151
97, 4691.00, 0.01, 151
98, 4890.00, 0.01, 151
99, 3999.00, 0.01, 151
100, 3493.00, 0.01, 151
101, 6155.00, 0.01, 151
